"chunk_id","doc_id","dept","dept_name","source_type","title","section_path","chunk_text","source_url","source_board","source_record_id","crawled_at","missing_fields","metadata_json"
"chunk_00001","doc_e78ab6fc919e","ai_systems","AI시스템학과","admission","(KAIST학사재학생) 학-석박통합연계과정 (KAIST Undergrad. Students) Integrated UG-MS-PhD Track","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] (KAIST학사재학생) 학-석박통합연계과정 (KAIST Undergrad. Students) Integrated UG-MS-PhD Track [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission (KAIST학사재학생) 학-석박통합연계과정 (KAIST Undergrad. Students) Integrated UG-MS-PhD Track 과정 Program: (KAIST학사재학생) 학-석박통합연계과정 (KAIST Undergrad. Students) Integrated UG-MS-PhD Track 지원 자격 Requirements: 1. 입시 기준일까지 3학기~4학기만 이수한 KAIST 학사과정 재학생 (5학기 이상 이수자는 자격 없음) 2. 69학점 이상의 학점을 취득 3. 누적 평점평균이 3.7 이상 (단, KAIST 소속으로 수행한 우수 연구실적을 제출하는 경우 성적제한 없음) 1. Current KAIST undergraduate students who have completed only 3 to 4 semesters as of the admissions deadline (Those who have completed 5 or more semesters are ineligible) 2. Earned a minimum of 69 credits 3. A cumulative GPA of 3.7 or higher (However, the GPA requirement is waived for those who submit evidence of outstanding research achievements conducted at KAIST) 일정/날짜: 3.7","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0005","2026-05-26T13:26:36.697547+00:00","","{""admission_type"": ""admission_eligibility"", ""source_sheet"": ""admission_clean""}"
"chunk_00002","doc_420fb5a99985","ai_systems","AI시스템학과","admission","1차 합격자 발표 1st Round Results","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 1차 합격자 발표 1st Round Results [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 1차 합격자 발표 1st Round Results 구분 Stage: 1차 합격자 발표 1st Round Results 지원일정 Date: 2026. 05. 14 (목) 14:00 이후 참수방법 How to Apply: KAIST 입시시스템( gradapply.kaist.ac.kr ) 합격자 발표 및 2차면접 세부일정 공지 Results and 2nd round interview details posted on admissions system 일정/날짜: 2026-05-14","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0011","2026-05-26T13:26:36.697547+00:00","","{""admission_type"": ""admission_eligibility"", ""source_sheet"": ""admission_clean""}"
"chunk_00003","doc_05642690d104","ai_systems","AI시스템학과","admission","2차 면접 (면접) 2nd Round (Interview)","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 2차 면접 (면접) 2nd Round (Interview) [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 2차 면접 (면접) 2nd Round (Interview) 구분 Stage: 2차 면접 (면접) 2nd Round (Interview) 지원일정 Date: 2026. 05. 16 (토) ~ 05. 26 (화) 참수방법 How to Apply: 세부 2차 면접 일정 및 장소 특이(입시시스템을 통해 공지) Detailed schedule and location announced via the admissions system 일정/날짜: 2026-05-16","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0008","2026-05-26T13:26:36.697547+00:00","","{""admission_type"": ""admission_eligibility"", ""source_sheet"": ""admission_clean""}"
"chunk_00004","doc_08e76f55f487","ai_systems","AI시스템학과","admission","AI시스템학과 소개서 다운로드 Download AI Systems Brochure","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] AI시스템학과 소개서 다운로드 Download AI Systems Brochure [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission AI시스템학과 소개서 다운로드 Download AI Systems Brochure 박사과정, 석사과정, (KAIST 석사재학생) 석박사 통합과정, We recruit new students for doctoral, master's, and integrated programs, (KAIST 학사재학생) 학-석박통합연계과정 신입생을 모집합니다. including the undergraduate-to-master's integrated track for KAIST undergraduates. AI시스템학과 소개서 다운로드 Download AI Systems Brochure 입학처 홈페이지 바로가기","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0018","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""admission_eligibility"", ""source_sheet"": ""admission_clean""}"
"chunk_00005","doc_e2f7e983481b","ai_systems","AI시스템학과","admission","KAIST 장학생","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] KAIST 장학생 [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission KAIST 장학생 KAIST Scholarship 학생 교육경비를 지도교수의 연구비에서 지원하는 제도로 입학 시 학생은 교육경비를 지원하는 교수의 지도학생이 되므로 교수의 전공에 따라 학생의 전공분야가 제한될 수 있습니다. Under this system, educational expenses are covered by the advisor's research funds. As students become advisees of the supporting professor upon admission, their field of study may be limited depending on the professor's specialization.","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0025","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""scholarship"", ""source_sheet"": ""admission_clean""}"
"chunk_00006","doc_57875e00ce7e","ai_systems","AI시스템학과","admission","KAIST프로그램 장학생은 KAIST프로그램 참여 교수만을 지도교수로 신청할 수 있습니다.","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] KAIST프로그램 장학생은 KAIST프로그램 참여 교수만을 지도교수로 신청할 수 있습니다. [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission KAIST프로그램 장학생은 KAIST프로그램 참여 교수만을 지도교수로 신청할 수 있습니다. KAIST program scholarship students may only apply to faculty participating in the KAIST program as their advisor.","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0039","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""scholarship"", ""source_sheet"": ""admission_clean""}"
"chunk_00007","doc_5936924dae51","ai_systems","AI시스템학과","admission","교수의 연구비에서 지원받는 KAIST 장학생으로 입학한 학생은 연구비 지원 교수만이 지도교수가 될 수 있습니다.","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 교수의 연구비에서 지원받는 KAIST 장학생으로 입학한 학생은 연구비 지원 교수만이 지도교수가 될 수 있습니다. [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 교수의 연구비에서 지원받는 KAIST 장학생으로 입학한 학생은 연구비 지원 교수만이 지도교수가 될 수 있습니다. Students admitted as KAIST scholarship students funded by a professor's research grant may only designate that funding professor as their advisor.","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0038","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""scholarship"", ""source_sheet"": ""admission_clean""}"
"chunk_00008","doc_d8b117e6d04e","ai_systems","AI시스템학과","admission","국비 장학생","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 국비 장학생 [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 국비 장학생 Gov't Scholarship 학생 교육경비의 일부를 정부재원으로 지원하는 제도입니다. This is a system where a portion of student educational expenses is supported by government funding.","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0024","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""scholarship"", ""source_sheet"": ""admission_clean""}"
"chunk_00009","doc_dd4061fcf4e1","ai_systems","AI시스템학과","admission","국비로 입학한 학생은 AI시스템학과 모든 교수를 지도교수로 신청할 수 있습니다. 신청한 지도교수가 국비TO가 있고 학생지도를 희망할 경우 매칭이 됩니다.","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 국비로 입학한 학생은 AI시스템학과 모든 교수를 지도교수로 신청할 수 있습니다. 신청한 지도교수가 국비TO가 있고 학생지도를 희망할 경우 매칭이 됩니다. [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 국비로 입학한 학생은 AI시스템학과 모든 교수를 지도교수로 신청할 수 있습니다. 신청한 지도교수가 국비TO가 있고 학생지도를 희망할 경우 매칭이 됩니다. Students admitted under a government scholarship may apply to any faculty member in the Department of AI Systems as their advisor. Matching occurs when the requested advisor has an available government scholarship slot and is willing to supervise.","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0037","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""scholarship"", ""source_sheet"": ""admission_clean""}"
"chunk_00010","doc_364374cfcec8","ai_systems","AI시스템학과","admission","석박사 통합과정 Integrated MS-PhD","대학원과정 입학 안내 Graduate Admission","[학과] AI시스템학과 [문서] 석박사 통합과정 Integrated MS-PhD [섹션] 대학원과정 입학 안내 Graduate Admission [유형] admission 석박사 통합과정 Integrated MS-PhD 과정 Program: 석박사 통합과정 Integrated MS-PhD 지원 자격 Requirements: 학사학위 취득자 또는 입학 시 취득 예정인 자 (졸업예정자) Bachelor's degree holder or expected graduate by enrollment date","https://ai-systems.kaist.ac.kr/admission-grad","","ai_systems_admission_grad_admission-grad_0d698c2ca6_0d698c2c__item_0003","2026-05-26T13:26:36.697547+00:00","schedule_date","{""admission_type"": ""admission_eligibility"", ""source_sheet"": ""admission_clean""}"
